time_s,reference_m,position_measured_m,velocity_measured_m_s,force_command_n
1.60000000,0.50000000,0.40596054,0.48263906,-0.72048505
1.62000000,0.50000000,0.41439630,0.45293576,-0.72381219
1.64000000,0.50000000,0.42525333,0.42751026,-0.79211125
1.66000000,0.50000000,0.43403538,0.39880392,-0.80665645
1.68000000,0.50000000,0.42904792,0.37134998,-0.57961246
1.70000000,0.50000000,0.44195722,0.35423787,-0.72641939
1.72000000,0.50000000,0.44805768,0.32870984,-0.70858743
1.74000000,0.50000000,0.45841175,0.30558452,-0.77933411
1.76000000,0.50000000,0.46667426,0.27464072,-0.77334018
1.78000000,0.50000000,0.46946968,0.26490700,-0.77498926
1.80000000,0.50000000,0.47475930,0.23179239,-0.70462937
1.82000000,0.50000000,0.47833012,0.21757863,-0.69783526
1.84000000,0.50000000,0.47527524,0.20089406,-0.55942460
1.86000000,0.50000000,0.48330333,0.17746058,-0.58676278
1.88000000,0.50000000,0.48598692,0.15519540,-0.52374158
1.90000000,0.50000000,0.49020963,0.14678068,-0.55767680
1.92000000,0.50000000,0.48850297,0.12863417,-0.43622435
1.94000000,0.50000000,0.49239201,0.11961210,-0.46111666
1.96000000,0.50000000,0.49337606,0.10730594,-0.41729875
1.98000000,0.50000000,0.49992737,0.10146297,-0.50600755
2.00000000,0.50000000,0.49794117,0.08698092,-0.39784558
2.02000000,0.50000000,0.49981222,0.06003537,-0.29679674
2.04000000,0.50000000,0.50906916,0.07041432,-0.51531644
2.06000000,0.50000000,0.50428189,0.05503425,-0.35224533
2.08000000,0.50000000,0.50909632,0.04158821,-0.37167474
2.10000000,0.50000000,0.51014958,0.04393270,-0.40235600
2.12000000,0.50000000,0.50723872,0.03449406,-0.30276735
2.14000000,0.50000000,0.50620607,0.01929261,-0.20817231
2.16000000,0.50000000,0.50965842,0.01872691,-0.26748605
2.18000000,0.50000000,0.51472456,0.02039788,-0.36703152
2.20000000,0.50000000,0.50900280,0.02323945,-0.27824762
2.22000000,0.50000000,0.51263158,0.01005513,-0.27764411
2.24000000,0.50000000,0.51287670,0.00197762,-0.24166875
2.26000000,0.50000000,0.51426157,-0.00704213,-0.22149771
2.28000000,0.50000000,0.50811357,-0.01837449,-0.05417181
2.30000000,0.50000000,0.50935842,-0.02291766,-0.05386326
2.32000000,0.50000000,0.51189484,-0.00722665,-0.17797379
2.34000000,0.50000000,0.51470537,-0.01091319,-0.21013068
2.36000000,0.50000000,0.51055424,-0.00452371,-0.16735777
2.38000000,0.50000000,0.51178992,-0.02717653,-0.07633587
2.40000000,0.50000000,0.50884172,-0.02491996,-0.03455120
2.42000000,0.50000000,0.50675113,-0.02243634,-0.00933859
2.44000000,0.50000000,0.49998378,-0.00774507,0.03901736
2.46000000,0.50000000,0.50489491,-0.02484843,0.03613375
2.48000000,0.50000000,0.50453523,-0.02196733,0.02820257
2.50000000,0.50000000,0.50534597,-0.02592736,0.03340926
2.52000000,0.50000000,0.50572006,-0.00723084,-0.06680680
2.54000000,0.50000000,0.50642601,-0.02543684,0.01151607
2.56000000,0.50000000,0.50548656,-0.00492647,-0.07412571
2.58000000,0.50000000,0.50891018,-0.01783022,-0.07123219
2.60000000,0.50000000,0.50541902,-0.01709915,-0.01204665
2.62000000,0.50000000,0.50277302,-0.00345199,-0.03265445
2.64000000,0.50000000,0.50288411,-0.00978681,-0.00297993
2.66000000,0.50000000,0.50409166,-0.01639140,0.00830721
2.68000000,0.50000000,0.50277626,-0.01481399,0.02409721
2.70000000,0.50000000,0.50217170,-0.00787143,0.00026650
2.72000000,0.50000000,0.50482583,-0.01479640,-0.01288289
2.74000000,0.50000000,0.50338543,-0.01658877,0.02200610
2.76000000,0.50000000,0.50326890,-0.00169929,-0.05034373
2.78000000,0.50000000,0.50108314,-0.01277665,0.04438681
2.80000000,0.50000000,0.50367507,-0.01408331,0.00426520
2.82000000,0.50000000,0.50203656,-0.00064213,-0.03344737
2.84000000,0.50000000,0.50210821,-0.01070249,0.01556463
2.86000000,0.50000000,0.49651547,-0.00483138,0.08687851
2.88000000,0.50000000,0.49843118,-0.00267975,0.04163746
2.90000000,0.50000000,0.50455719,0.00528604,-0.10845954
2.92000000,0.50000000,0.49929646,-0.01154146,0.07037102
2.94000000,0.50000000,0.50207678,-0.00586190,-0.00807249
2.96000000,0.50000000,0.50284701,0.00253616,-0.06392692
2.98000000,0.50000000,0.50386227,-0.00663690,-0.03633642
3.00000000,-0.30000000,0.49982741,-0.01522517,-12.00000000
3.02000000,-0.30000000,0.49679371,-0.21132798,-12.00000000
3.04000000,-0.30000000,0.48865914,-0.41581668,-12.00000000
3.06000000,-0.30000000,0.47800508,-0.61189135,-10.94463468
3.08000000,-0.30000000,0.46279431,-0.77868112,-9.83689205
3.10000000,-0.30000000,0.43705662,-0.90900700,-8.72198423
3.12000000,-0.30000000,0.42133445,-1.03560168,-7.80601175
3.14000000,-0.30000000,0.39880474,-1.12973766,-6.92979696
3.16000000,-0.30000000,0.37275135,-1.22011916,-6.00892857
3.18000000,-0.30000000,0.35263279,-1.26711461,-5.41181713
3.20000000,-0.30000000,0.32343909,-1.31563695,-4.64371884
3.22000000,-0.30000000,0.29762310,-1.34655411,-4.02444519
3.24000000,-0.30000000,0.26952641,-1.38152529,-3.34384891
3.26000000,-0.30000000,0.24252951,-1.38099603,-2.86055110
3.28000000,-0.30000000,0.21336606,-1.37841337,-2.34852213
3.30000000,-0.30000000,0.18163293,-1.37819794,-1.77840303
3.32000000,-0.30000000,0.16021486,-1.35870152,-1.49035987
3.34000000,-0.30000000,0.13122553,-1.34905645,-1.01677735
3.36000000,-0.30000000,0.09787446,-1.30716557,-0.62591250
3.38000000,-0.30000000,0.07981513,-1.27487279,-0.46230845
3.40000000,-0.30000000,0.05201522,-1.23334356,-0.16955613
3.42000000,-0.30000000,0.03357966,-1.20412426,0.01618738
3.44000000,-0.30000000,0.00698632,-1.15692077,0.25884999
3.46000000,-0.30000000,-0.01680659,-1.10057555,0.40539643
3.48000000,-0.30000000,-0.03573428,-1.06860007,0.58621747
3.50000000,-0.30000000,-0.05983948,-1.02397818,0.79700153
3.52000000,-0.30000000,-0.07698546,-0.97701861,0.87083126
3.54000000,-0.30000000,-0.09647953,-0.92679952,0.97062905
3.56000000,-0.30000000,-0.11002393,-0.88099263,0.98539391
3.58000000,-0.30000000,-0.12785956,-0.83380136,1.07047893
3.60000000,-0.30000000,-0.14621094,-0.79064456,1.18501968
3.62000000,-0.30000000,-0.15714821,-0.72712461,1.06429082
3.64000000,-0.30000000,-0.17509503,-0.69326985,1.21805989
3.66000000,-0.30000000,-0.18599438,-0.64386308,1.16721414
3.68000000,-0.30000000,-0.19916091,-0.60322958,1.20104436
3.70000000,-0.30000000,-0.21330813,-0.57195017,1.29929717
3.72000000,-0.30000000,-0.22165692,-0.52202725,1.19996082
3.74000000,-0.30000000,-0.22965817,-0.47234249,1.09555947
3.76000000,-0.30000000,-0.24259630,-0.45433288,1.23839780
3.78000000,-0.30000000,-0.24764325,-0.42680008,1.19157889
3.80000000,-0.30000000,-0.25828121,-0.38835682,1.19084592
3.82000000,-0.30000000,-0.26574030,-0.34467620,1.10670632
3.84000000,-0.30000000,-0.26957567,-0.31627258,1.03372504
3.86000000,-0.30000000,-0.27700073,-0.29232261,1.04762617
3.88000000,-0.30000000,-0.28355553,-0.25251495,0.96657431
3.90000000,-0.30000000,-0.28129168,-0.22868491,0.80667484
3.92000000,-0.30000000,-0.28433072,-0.21378572,0.78688163
3.94000000,-0.30000000,-0.29730075,-0.19215442,0.91218560
3.96000000,-0.30000000,-0.29447242,-0.18119483,0.80647772
3.98000000,-0.30000000,-0.30077822,-0.15262275,0.77712172
4.00000000,-0.30000000,-0.29778610,-0.12214192,0.57085951
4.02000000,-0.30000000,-0.29976360,-0.11641625,0.57782606
4.04000000,-0.30000000,-0.30671298,-0.09583100,0.59998862
4.06000000,-0.30000000,-0.30673409,-0.07504563,0.49644175
4.08000000,-0.30000000,-0.30535834,-0.08329226,0.51291137
4.10000000,-0.30000000,-0.30778012,-0.06537772,0.46693074
4.12000000,-0.30000000,-0.31224125,-0.05739855,0.50733532
4.14000000,-0.30000000,-0.30918972,-0.05298604,0.43034519
4.16000000,-0.30000000,-0.31044728,-0.04322531,0.40417763
4.18000000,-0.30000000,-0.31584975,-0.02848264,0.42770866
4.20000000,-0.30000000,-0.31347679,-0.02352498,0.36020703
4.22000000,-0.30000000,-0.31370898,-0.01506823,0.32210285
4.24000000,-0.30000000,-0.31361171,-0.01361157,0.31306871
4.26000000,-0.30000000,-0.31422560,0.00007739,0.25567385
4.28000000,-0.30000000,-0.31245574,0.00794165,0.18449504
4.30000000,-0.30000000,-0.31152380,-0.00224187,0.21863784
4.32000000,-0.30000000,-0.31263004,0.02286491,0.11301622
4.34000000,-0.30000000,-0.31184710,0.00699146,0.17829051
4.36000000,-0.30000000,-0.31504277,0.01475697,0.19698505
4.38000000,-0.30000000,-0.30990961,0.01253019,0.11572194
4.40000000,-0.30000000,-0.31272017,0.02296935,0.11411637
4.42000000,-0.30000000,-0.31127889,0.01475293,0.12925541
4.44000000,-0.30000000,-0.30864541,0.03646266,-0.02669592
4.46000000,-0.30000000,-0.31010183,0.02066845,0.07849069
4.48000000,-0.30000000,-0.30354805,0.01848667,-0.02856842
4.50000000,-0.30000000,-0.30684262,0.02101162,0.01810910
4.52000000,-0.30000000,-0.30857489,0.00980017,0.10534715
4.54000000,-0.30000000,-0.30738768,0.01226421,0.07165724
4.56000000,-0.30000000,-0.30883875,0.02628717,0.02766159
4.58000000,-0.30000000,-0.31184794,0.01598487,0.13333857
4.60000000,-0.30000000,-0.31100658,0.02184922,0.08887229
4.62000000,-0.30000000,-0.30241758,0.02977970,-0.10538196
4.64000000,-0.30000000,-0.30833297,0.02303549,0.03481601
4.66000000,-0.30000000,-0.31261231,0.01837337,0.13515478
4.68000000,-0.30000000,-0.31049447,0.02722100,0.05279543
4.70000000,-0.30000000,-0.30741118,0.00549612,0.10592064
4.72000000,-0.30000000,-0.30511970,0.02586563,-0.03717360
4.74000000,-0.30000000,-0.30862417,0.01974571,0.05650648
4.76000000,-0.30000000,-0.30593744,0.01613998,0.02617406
4.78000000,-0.30000000,-0.30412606,0.02532294,-0.05234567
4.80000000,-0.30000000,-0.30363998,0.02800752,-0.07451801
4.82000000,-0.30000000,-0.30240385,0.00894599,-0.00146054
4.84000000,-0.30000000,-0.30000561,0.02331494,-0.11647372
4.86000000,-0.30000000,-0.30372406,0.01818936,-0.02391371
4.88000000,-0.30000000,-0.30475878,0.01217813,0.02476745
4.90000000,-0.30000000,-0.30124427,0.00578203,-0.00651324
4.92000000,-0.30000000,-0.30590716,0.01065732,0.05304225
4.94000000,-0.30000000,-0.30309734,0.01519115,-0.02020363
4.96000000,-0.30000000,-0.29808015,0.01132804,-0.09119753
4.98000000,-0.30000000,-0.30122018,0.00859606,-0.02101712
5.00000000,0.80000000,-0.30301956,0.01372185,12.00000000
5.02000000,0.80000000,-0.29320677,0.21210020,12.00000000
5.04000000,0.80000000,-0.29038273,0.42337759,12.00000000
5.06000000,0.80000000,-0.28059817,0.60908860,12.00000000
5.08000000,0.80000000,-0.25608987,0.78796892,12.00000000
5.10000000,0.80000000,-0.23912290,0.96531289,12.00000000
5.12000000,0.80000000,-0.22007946,1.13328977,12.00000000
5.14000000,0.80000000,-0.19075174,1.31019911,11.28253571
5.16000000,0.80000000,-0.16395304,1.44496594,10.12632494
5.18000000,0.80000000,-0.12593478,1.58850233,8.72431443
5.20000000,0.80000000,-0.09435158,1.67764371,7.71010985
5.22000000,0.80000000,-0.06816480,1.74721452,6.89089381
5.24000000,0.80000000,-0.02767024,1.80659338,5.86509748
5.26000000,0.80000000,0.01356124,1.84570441,4.92737554
5.28000000,0.80000000,0.04698997,1.86467408,4.23081014
5.30000000,0.80000000,0.09091645,1.88348988,3.34605450
5.32000000,0.80000000,0.12772016,1.87335751,2.73424961
5.34000000,0.80000000,0.15553352,1.85190895,2.34085187
5.36000000,0.80000000,0.19555384,1.83089101,1.72557587
5.38000000,0.80000000,0.22812722,1.79242183,1.33160095
5.40000000,0.80000000,0.26442661,1.75843181,0.84816202
5.42000000,0.80000000,0.30271765,1.70865504,0.40780717
5.44000000,0.80000000,0.33351257,1.65820381,0.10575463
5.46000000,0.80000000,0.37147629,1.60491563,-0.31115129
5.48000000,0.80000000,0.39768629,1.55298045,-0.52325549
5.50000000,0.80000000,0.42601824,1.48060366,-0.67134655
5.52000000,0.80000000,0.45498037,1.42092601,-0.89427670
5.54000000,0.80000000,0.48484363,1.35822239,-1.11829726
5.56000000,0.80000000,0.51360081,1.29031537,-1.29639137
5.58000000,0.80000000,0.53322710,1.21406684,-1.26842195
5.60000000,0.80000000,0.55290116,1.15434726,-1.32395712
5.62000000,0.80000000,0.57789851,1.09977547,-1.50105051
5.64000000,0.80000000,0.59939050,1.02736682,-1.52586303
5.66000000,0.80000000,0.61557270,0.97656859,-1.56315161
5.68000000,0.80000000,0.63594381,0.91047077,-1.59934239
5.70000000,0.80000000,0.65241804,0.84515972,-1.56932324
5.72000000,0.80000000,0.67063846,0.79865596,-1.66477217
5.74000000,0.80000000,0.68233464,0.72857530,-1.52490004
5.76000000,0.80000000,0.69862606,0.68513714,-1.60095484
5.78000000,0.80000000,0.70539291,0.63884148,-1.49127972
5.80000000,0.80000000,0.72469841,0.58686527,-1.57889771
5.82000000,0.80000000,0.72876928,0.54830201,-1.45935714
5.84000000,0.80000000,0.74372634,0.49400041,-1.45707611
5.86000000,0.80000000,0.75248743,0.44970565,-1.39330191
5.88000000,0.80000000,0.76048061,0.41624682,-1.36988502
5.90000000,0.80000000,0.76966374,0.38259861,-1.36694035
5.92000000,0.80000000,0.77399967,0.34826801,-1.27333420
5.94000000,0.80000000,0.77820682,0.31177648,-1.16660518
5.96000000,0.80000000,0.78417820,0.27150062,-1.07271075
5.98000000,0.80000000,0.79346038,0.24977494,-1.13116164
6.00000000,0.80000000,0.79555213,0.21367699,-0.98832330
6.02000000,0.80000000,0.79574481,0.20254118,-0.93611258
6.04000000,0.80000000,0.80592032,0.17916674,-1.00239952
6.06000000,0.80000000,0.80980481,0.15005700,-0.92677160
6.08000000,0.80000000,0.80728919,0.13358558,-0.79913335
6.10000000,0.80000000,0.81152485,0.11715672,-0.79323086
6.12000000,0.80000000,0.81003484,0.10142991,-0.68777668
6.14000000,0.80000000,0.81563748,0.07731739,-0.66806167
6.16000000,0.80000000,0.81336725,0.07038902,-0.59255565
6.18000000,0.80000000,0.81663557,0.05353963,-0.56713838
6.20000000,0.80000000,0.81592026,0.03896243,-0.48137674
6.22000000,0.80000000,0.81794210,0.03460067,-0.49596118
6.24000000,0.80000000,0.81502463,0.02914618,-0.41617430
6.26000000,0.80000000,0.82172795,0.00259928,-0.40409943
6.28000000,0.80000000,0.81526503,-0.00034182,-0.27306148
6.30000000,0.80000000,0.81681712,0.00449103,-0.32516334
6.32000000,0.80000000,0.81498733,-0.00845662,-0.22748882
6.34000000,0.80000000,0.81746487,-0.00669123,-0.28091160
6.36000000,0.80000000,0.82054512,-0.00813089,-0.32915772
6.38000000,0.80000000,0.81935141,-0.01997881,-0.24843139
6.40000000,0.80000000,0.81636487,-0.02359897,-0.17657271
6.42000000,0.80000000,0.82001772,-0.02012893,-0.25967427
6.44000000,0.80000000,0.81178354,-0.02291920,-0.09750777
6.46000000,0.80000000,0.81748462,-0.02931329,-0.16815678
6.48000000,0.80000000,0.81618902,-0.03133735,-0.13471565
6.50000000,0.80000000,0.81823846,-0.03431633,-0.15671070
6.52000000,0.80000000,0.81341059,-0.04610856,-0.01084773
6.54000000,0.80000000,0.80780593,-0.02978594,0.00842297
6.56000000,0.80000000,0.81510517,-0.03964129,-0.07368661
6.58000000,0.80000000,0.81305494,-0.03986197,-0.03567909
6.60000000,0.80000000,0.81402458,-0.03478182,-0.07853330
6.62000000,0.80000000,0.81497714,-0.02530994,-0.14303881
6.64000000,0.80000000,0.80861693,-0.03217585,0.00577444
6.66000000,0.80000000,0.81502836,-0.02209473,-0.16003689
6.68000000,0.80000000,0.80799251,-0.03102299,0.01124977
6.70000000,0.80000000,0.81038690,-0.03160487,-0.02893992
6.72000000,0.80000000,0.80746450,-0.02635450,-0.00258841
6.74000000,0.80000000,0.81087579,-0.03508278,-0.02035026
6.76000000,0.80000000,0.80645239,-0.03200123,0.04386311
6.78000000,0.80000000,0.80674138,-0.02417128,-0.00048847
6.80000000,0.80000000,0.80957313,-0.02119158,-0.06635835
6.82000000,0.80000000,0.80696309,-0.03120705,0.03069967
6.84000000,0.80000000,0.81098281,-0.02969061,-0.04923750
6.86000000,0.80000000,0.80326330,-0.02366352,0.05957829
6.88000000,0.80000000,0.80426008,-0.02359267,0.04128190
6.90000000,0.80000000,0.80402475,-0.02821353,0.06862224
6.92000000,0.80000000,0.80565434,-0.02550982,0.02577096
6.94000000,0.80000000,0.80550491,-0.01983857,0.00010444
6.96000000,0.80000000,0.80070376,-0.01474936,0.06107917
6.98000000,0.80000000,0.79952158,-0.01179067,0.06756494
7.00000000,0.80000000,0.80082887,-0.00747121,0.02243638
7.02000000,0.80000000,0.80398442,-0.00995447,-0.02194718
7.04000000,0.80000000,0.80081333,-0.02576300,0.11417506
7.06000000,0.80000000,0.80233883,-0.01322182,0.02401014
7.08000000,0.80000000,0.80464933,-0.02304971,0.03156060
7.10000000,0.80000000,0.80075070,-0.00869220,0.02994847
7.12000000,0.80000000,0.79698126,-0.00911343,0.09990444
7.14000000,0.80000000,0.80342789,-0.00799925,-0.02170571
7.16000000,0.80000000,0.80218743,-0.01368395,0.02904610
7.18000000,0.80000000,0.79951118,-0.00611152,0.03935645
7.20000000,0.80000000,0.79653531,-0.01335187,0.12912374
7.22000000,0.80000000,0.79793936,0.00249942,0.02459451
7.24000000,0.80000000,0.80106857,-0.01400224,0.05077690
7.26000000,0.80000000,0.80488937,-0.00166900,-0.07966372
7.28000000,0.80000000,0.80004407,-0.00651034,0.03175847
7.30000000,0.80000000,0.79707654,-0.00178909,0.06156781
7.32000000,0.80000000,0.80671606,0.00146812,-0.12822966
7.34000000,0.80000000,0.79861400,0.00263087,0.01179365
7.36000000,0.80000000,0.79705384,-0.00030911,0.05457647
7.38000000,0.80000000,0.80507267,-0.00506154,-0.06600029
7.40000000,0.80000000,0.79732013,-0.00850809,0.09077804
7.42000000,0.80000000,0.79814076,0.00094390,0.02874689
7.44000000,0.80000000,0.80309201,-0.00585943,-0.02635893
7.46000000,0.80000000,0.79768272,-0.00139392,0.04868069
7.48000000,0.80000000,0.79901491,-0.00046904,0.02007676
7.50000000,0.80000000,0.80221024,-0.00344787,-0.02254490
7.52000000,0.80000000,0.80242446,-0.01024052,0.00756225
7.54000000,0.80000000,0.79752645,-0.00461084,0.06757803
7.56000000,0.80000000,0.80044740,0.00492453,-0.03267593
7.58000000,0.80000000,0.79840335,0.01390036,-0.04076209
7.60000000,0.80000000,0.79132940,0.00217754,0.14518312
7.62000000,0.80000000,0.80262341,0.01060639,-0.10025336
7.64000000,0.80000000,0.79925565,0.00582753,-0.01573935
7.66000000,0.80000000,0.80100404,0.00389132,-0.03752925
7.68000000,0.80000000,0.79796193,0.00112061,0.03108223
7.70000000,0.80000000,0.79874569,-0.00324271,0.03879118
7.72000000,0.80000000,0.79511388,-0.00220791,0.09898974
7.74000000,0.80000000,0.80033985,-0.00674328,0.02759904
7.76000000,0.80000000,0.80651160,-0.00150583,-0.10967967
7.78000000,0.80000000,0.80423785,-0.00156752,-0.06844372
7.80000000,0.80000000,0.80130479,-0.00943916,0.02370955
7.82000000,0.80000000,0.79632865,-0.00696076,0.10088804
7.84000000,0.80000000,0.79935935,0.00461095,-0.01152296
7.86000000,0.80000000,0.79893147,0.00959805,-0.02875667
7.88000000,0.80000000,0.80283734,-0.00351754,-0.03348444
7.90000000,0.80000000,0.79963189,-0.00217624,0.01750723
7.92000000,0.80000000,0.79918568,0.00081182,0.01059870
7.94000000,0.80000000,0.80456473,-0.00243963,-0.06996693
7.96000000,0.80000000,0.79746345,0.00133187,0.03899858
7.98000000,0.80000000,0.80229817,-0.00812310,0.03899858
